URL;nombre;n_apariciones;actual;genero;fecha_inicio;Notes
http://marvel.wikia.com/Michik;Michiko Musashi;94;YES;FEMALE;1900;
http://marvel.wikia.com/Takash;Taki Matsuya;18;YES;MALE;1900;
http://marvel.wikia.com/Daisy_;Daisy Johnson;81;NO;FEMALE;2012;
http://marvel.wikia.com/Ororo_;Ororo Munroe;1598;NO;FEMALE;2012;
http://marvel.wikia.com/Matthe;Matt Murdock;1375;NO;MALE;2011;
http://marvel.wikia.com/Eugene;Flash Thompson;746;YES;MALE;2012;
http://marvel.wikia.com/Otto_O;Otto Octavius;561;NO;MALE;2013;Died in Superio
http://marvel.wikia.com/Alexan;Alex Summers;592;YES;MALE;2012;
http://marvel.wikia.com/Samuel;Samuel Guthrie;679;YES;MALE;2013;
http://marvel.wikia.com/Robert;Roberto da Costa;491;YES;MALE;2013;
http://marvel.wikia.com/Eden_F;Eden Fesi;65;YES;MALE;2013;
http://marvel.wikia.com/Captai;;55;YES;MALE;2013;
http://marvel.wikia.com/Isabel;Izzy Kane;44;YES;FEMALE;2013;
http://marvel.wikia.com/Marcus;Marcus Milton;65;YES;MALE;2013;Died in New_Ave
http://marvel.wikia.com/Rogue_;Anna Marie;877;YES;FEMALE;2013;
http://marvel.wikia.com/Shiro_;Shiro Yoshida;176;YES;MALE;2013;Died in Uncanny
http://marvel.wikia.com/Ex_Nih;;24;YES;MALE;2013;Died in New_Ave
http://marvel.wikia.com/Abyss_;;25;YES;FEMALE;2013;Died in New_Ave
http://marvel.wikia.com/Nightm;Adam;35;YES;MALE;2013;Died in New_Ave
http://marvel.wikia.com/Kevin_;Kevin Kale Connor;44;YES;MALE;2013;Died in New_Ave
http://marvel.wikia.com/Sam_Al;Sam Alexander;78;YES;MALE;2015;
http://marvel.wikia.com/Americ;America Chavez;22;YES;FEMALE;2013;
http://marvel.wikia.com/Loki_L;Loki Laufeyson;77;NO;MALE;2013;
http://marvel.wikia.com/David_;David Alleyne;115;YES;MALE;2013;
http://marvel.wikia.com/Nichol;Nicholas Fury;77;YES;MALE;2013;
http://marvel.wikia.com/Philli;Phillip Coulson;69;YES;MALE;2013;
http://marvel.wikia.com/Tony_M;Tony Masters;173;NO;MALE;2013;
http://marvel.wikia.com/Victor;Victor Mancha;75;YES;MALE;2013;Died in Avenger
http://marvel.wikia.com/Monica;Monica Chang;12;YES;FEMALE;2013;
http://marvel.wikia.com/Doombo;;14;YES;MALE;2013;
http://marvel.wikia.com/Alexis;Alexis;13;YES;FEMALE;2013;
http://marvel.wikia.com/Eric_B;Eric Brooks;198;YES;MALE;2013;
http://marvel.wikia.com/Adam_B;Adam Brashear;29;YES;MALE;2014;
http://marvel.wikia.com/Victor;Victor Alvarez;45;YES;MALE;2014;
http://marvel.wikia.com/Ava_Ay;Ava Ayala;49;YES;FEMALE;2014;
http://marvel.wikia.com/Kaluu_;Kaluu;35;YES;MALE;2015;
